date,sku,retailer,units_sold
2025-01-05,VAC100,Walmart,192
2025-01-05,VAC100,Target,67
2025-01-05,VAC100,Amazon,137
2025-01-05,VAC200,Walmart,87
2025-01-05,VAC200,Target,123
2025-01-05,VAC200,Amazon,29
2025-01-05,LED300,Walmart,41
2025-01-05,LED300,Target,56
2025-01-05,LED300,Amazon,107
2025-01-05,MASS400,Walmart,90
2025-01-05,MASS400,Target,108
2025-01-05,MASS400,Amazon,160
2025-01-05,AUDIO500,Walmart,78
2025-01-05,AUDIO500,Target,59
2025-01-05,AUDIO500,Amazon,107
2025-01-12,VAC100,Walmart,194
2025-01-12,VAC100,Target,108
2025-01-12,VAC100,Amazon,101
2025-01-12,VAC200,Walmart,185
2025-01-12,VAC200,Target,45
2025-01-12,VAC200,Amazon,97
2025-01-12,LED300,Walmart,92
2025-01-12,LED300,Target,29
2025-01-12,LED300,Amazon,168
2025-01-12,MASS400,Walmart,135
2025-01-12,MASS400,Target,99
2025-01-12,MASS400,Amazon,195
2025-01-12,AUDIO500,Walmart,102
2025-01-12,AUDIO500,Target,119
2025-01-12,AUDIO500,Amazon,197
2025-01-19,VAC100,Walmart,49
2025-01-19,VAC100,Target,167
2025-01-19,VAC100,Amazon,167
2025-01-19,VAC200,Walmart,162
2025-01-19,VAC200,Target,187
2025-01-19,VAC200,Amazon,52
2025-01-19,LED300,Walmart,29
2025-01-19,LED300,Target,147
2025-01-19,LED300,Amazon,52
2025-01-19,MASS400,Walmart,51
2025-01-19,MASS400,Target,171
2025-01-19,MASS400,Amazon,183
2025-01-19,AUDIO500,Walmart,134
2025-01-19,AUDIO500,Target,48
2025-01-19,AUDIO500,Amazon,54
2025-01-26,VAC100,Walmart,148
2025-01-26,VAC100,Target,148
2025-01-26,VAC100,Amazon,184
2025-01-26,VAC200,Walmart,73
2025-01-26,VAC200,Target,153
2025-01-26,VAC200,Amazon,58
2025-01-26,LED300,Walmart,37
2025-01-26,LED300,Target,99
2025-01-26,LED300,Amazon,152
2025-01-26,MASS400,Walmart,125
2025-01-26,MASS400,Target,62
2025-01-26,MASS400,Amazon,51
2025-01-26,AUDIO500,Walmart,140
2025-01-26,AUDIO500,Target,21
2025-01-26,AUDIO500,Amazon,85
2025-02-02,VAC100,Walmart,189
2025-02-02,VAC100,Target,77
2025-02-02,VAC100,Amazon,55
2025-02-02,VAC200,Walmart,122
2025-02-02,VAC200,Target,139
2025-02-02,VAC200,Amazon,31
2025-02-02,LED300,Walmart,194
2025-02-02,LED300,Target,102
2025-02-02,LED300,Amazon,111
2025-02-02,MASS400,Walmart,148
2025-02-02,MASS400,Target,162
2025-02-02,MASS400,Amazon,119
2025-02-02,AUDIO500,Walmart,73
2025-02-02,AUDIO500,Target,160
2025-02-02,AUDIO500,Amazon,141
2025-02-09,VAC100,Walmart,190
2025-02-09,VAC100,Target,104
2025-02-09,VAC100,Amazon,88
2025-02-09,VAC200,Walmart,26
2025-02-09,VAC200,Target,67
2025-02-09,VAC200,Amazon,147
2025-02-09,LED300,Walmart,151
2025-02-09,LED300,Target,120
2025-02-09,LED300,Amazon,98
2025-02-09,MASS400,Walmart,163
2025-02-09,MASS400,Target,168
2025-02-09,MASS400,Amazon,43
2025-02-09,AUDIO500,Walmart,161
2025-02-09,AUDIO500,Target,137
2025-02-09,AUDIO500,Amazon,105
2025-02-16,VAC100,Walmart,68
2025-02-16,VAC100,Target,69
2025-02-16,VAC100,Amazon,89
2025-02-16,VAC200,Walmart,189
2025-02-16,VAC200,Target,183
2025-02-16,VAC200,Amazon,115
2025-02-16,LED300,Walmart,114
2025-02-16,LED300,Target,20
2025-02-16,LED300,Amazon,133
2025-02-16,MASS400,Walmart,198
2025-02-16,MASS400,Target,56
2025-02-16,MASS400,Amazon,182
2025-02-16,AUDIO500,Walmart,68
2025-02-16,AUDIO500,Target,113
2025-02-16,AUDIO500,Amazon,151
2025-02-23,VAC100,Walmart,118
2025-02-23,VAC100,Target,62
2025-02-23,VAC100,Amazon,132
2025-02-23,VAC200,Walmart,169
2025-02-23,VAC200,Target,147
2025-02-23,VAC200,Amazon,20
2025-02-23,LED300,Walmart,158
2025-02-23,LED300,Target,134
2025-02-23,LED300,Amazon,63
2025-02-23,MASS400,Walmart,147
2025-02-23,MASS400,Target,43
2025-02-23,MASS400,Amazon,150
2025-02-23,AUDIO500,Walmart,141
2025-02-23,AUDIO500,Target,118
2025-02-23,AUDIO500,Amazon,82
2025-03-02,VAC100,Walmart,183
2025-03-02,VAC100,Target,143
2025-03-02,VAC100,Amazon,102
2025-03-02,VAC200,Walmart,194
2025-03-02,VAC200,Target,168
2025-03-02,VAC200,Amazon,70
2025-03-02,LED300,Walmart,175
2025-03-02,LED300,Target,34
2025-03-02,LED300,Amazon,61
2025-03-02,MASS400,Walmart,78
2025-03-02,MASS400,Target,56
2025-03-02,MASS400,Amazon,30
2025-03-02,AUDIO500,Walmart,106
2025-03-02,AUDIO500,Target,63
2025-03-02,AUDIO500,Amazon,124
2025-03-09,VAC100,Walmart,31
2025-03-09,VAC100,Target,22
2025-03-09,VAC100,Amazon,71
2025-03-09,VAC200,Walmart,100
2025-03-09,VAC200,Target,52
2025-03-09,VAC200,Amazon,148
2025-03-09,LED300,Walmart,58
2025-03-09,LED300,Target,39
2025-03-09,LED300,Amazon,194
2025-03-09,MASS400,Walmart,62
2025-03-09,MASS400,Target,135
2025-03-09,MASS400,Amazon,97
2025-03-09,AUDIO500,Walmart,50
2025-03-09,AUDIO500,Target,44
2025-03-09,AUDIO500,Amazon,145
2025-03-16,VAC100,Walmart,22
2025-03-16,VAC100,Target,23
2025-03-16,VAC100,Amazon,114
2025-03-16,VAC200,Walmart,127
2025-03-16,VAC200,Target,33
2025-03-16,VAC200,Amazon,132
2025-03-16,LED300,Walmart,60
2025-03-16,LED300,Target,92
2025-03-16,LED300,Amazon,39
2025-03-16,MASS400,Walmart,115
2025-03-16,MASS400,Target,92
2025-03-16,MASS400,Amazon,174
2025-03-16,AUDIO500,Walmart,87
2025-03-16,AUDIO500,Target,81
2025-03-16,AUDIO500,Amazon,34
2025-03-23,VAC100,Walmart,116
2025-03-23,VAC100,Target,24
2025-03-23,VAC100,Amazon,159
2025-03-23,VAC200,Walmart,106
2025-03-23,VAC200,Target,141
2025-03-23,VAC200,Amazon,129
2025-03-23,LED300,Walmart,95
2025-03-23,LED300,Target,36
2025-03-23,LED300,Amazon,172
