sku,rating,review_text
VAC100,3,Stopped working after one week
AUDIO500,5,Great product and fast shipping
MASS400,2,Stopped working after one week
MASS400,5,Battery drains quickly
AUDIO500,2,Stopped working after one week
MASS400,5,Build quality is solid
AUDIO500,2,Battery drains quickly
MASS400,3,Stopped working after one week
VAC100,3,Battery drains quickly
MASS400,4,Build quality is solid
MASS400,2,Stopped working after one week
VAC200,3,Stopped working after one week
MASS400,3,Great product and fast shipping
AUDIO500,5,Stopped working after one week
VAC100,3,Stopped working after one week
MASS400,3,Battery drains quickly
VAC100,4,Build quality is solid
VAC100,1,Motor gets loud sometimes
MASS400,5,Build quality is solid
VAC200,3,Build quality is solid
LED300,1,Stopped working after one week
MASS400,1,Motor gets loud sometimes
LED300,3,Motor gets loud sometimes
MASS400,4,Build quality is solid
VAC100,2,Battery drains quickly
MASS400,4,Motor gets loud sometimes
LED300,3,Motor gets loud sometimes
VAC100,5,Build quality is solid
MASS400,2,Great product and fast shipping
VAC200,2,Motor gets loud sometimes
AUDIO500,3,Build quality is solid
MASS400,3,Great product and fast shipping
VAC200,5,Build quality is solid
LED300,4,Build quality is solid
VAC200,5,Battery drains quickly
AUDIO500,3,Stopped working after one week
VAC200,5,Great product and fast shipping
MASS400,3,Stopped working after one week
VAC200,2,Great product and fast shipping
MASS400,5,Great product and fast shipping
